cps21_ResponseId,cps21_imp_iss,Q_Language
R_33pvNTuZAxmb9wt,"La santé, la scolarité, l'écologie",FR-CA
R_SUUMTpyp4sEfbGh,Immigration and housing,EN
R_1eKm7Ks3R4qLhKk,Rid the pandemic,EN
R_XTzhZeGAthQNY2J,Health care,EN
R_3JnjH39ISEU38DN,"The Economy, The Waste of Taxpayer Dollars and the way Alberta has been treated by the Federal Government",EN
R_PvqRML0bBh9KU7v,The pandemic,EN
R_2P0BevPvQEmRaST,Corruption and bias within government and business,EN
R_1luwg4per4Sr0Ux,Fiscal responsibility reduce debt,EN
R_2whQmOzssevL62k,Santé,FR-CA
R_1pnie2spCTXJQDh,Covid 19,EN
R_z8z4EOrPJSS1NKN,money,EN
R_3IWPump2M1VV2NR,Économie post pandémie,FR-CA
R_1hRT08pQYYpY5oQ,Vaccine Passports,EN
R_1QAAyMForAoMDET,Honesty,EN
R_3IT8kjCMW2preUJ,La protection de notre langue et de nos valeurs,FR-CA
R_3lYSVqei7hzBGUS,Mental health,EN
R_2CBu21apZy9vGHC,"The Liberal leader lying, not treating all Canadians equally, acting just like his father who put Canada in debt.",EN
R_Rai2aFcyNKBW2uB,health,EN
R_DBQJvdcDLnKevpn,TAXES,EN
R_2qecqKgcRsYQK2z,Environnement,FR-CA
R_2WTpj64tlvYzUi8,Getting covid out of here and having our lives back.,EN
R_2dvcPTdbYtudO52,Climate change,EN
R_22tVIxpQeNqmrbj,pandémie,FR-CA
R_1DXZWVTTKESDBPg,Vaccine mandates,EN
R_2b2IN8soLRmAsSx,Taking care of Canadians first and affordable living,EN
R_3R7r5jc1EZrYipF,Climate Change,EN
R_cN3Elv6Uzs5Ysud,Affordability,EN
R_ZIQKsQxpLsQ0HUR,l'environement,FR-CA
R_2zhCqaqOFeHFOTs,Cost of Living,EN
R_8BTmJ4FHTwnDnLX,-99,FR-CA
R_6Jqfta47WmwtY8V,dette,FR-CA
R_1IK67TRwY8xdehN,economic inequality,EN
R_25QKgeByXngsnZK,Gun control,EN
R_3GBAlWXhRXKHwqE,Health,EN
R_11ZqT1ItxbYUqQ9,Eradicating/controlling spread of Covid 19,EN
R_8cR9XspnyLfnZ8R,Changements climatiques,FR-CA
R_26g8jR2cDdYAtZb,Anti vaxxers,EN
R_3oGbGWDmCUs0xXN,environmental degradation,EN
R_3PRbgXlF9r77NhE,climate change,EN
R_29t38pgSqMDydL3,"Government leaders should work for their people and country, and not the interest or benefits that his/her party or himself/herself can get. The world is in danger. I believe that they know the ultimate reason for all these so called ""natural"" disasters, climate change, pandemic etc. is we, human beings, kill each other and kill massive animals. The bad bloody killing energy caused all these serious issues. So the government should lead people to go vegan.",EN
R_31MWtIfjPmpkIpq,gov't spending,EN
R_3RykBtWmqyuIRz0,Issues related to poverty,EN
R_2arEtPXfBGzdKZD,Economy,EN
R_3QLSvluHm2MEUkN,accounability,EN
R_0GSCYMxmIwP9bdT,Fin de la PCU le plus tôt possible et aussi l'environnement.,FR-CA
R_0vzvp6VvFOy8LGF,L’environnement,FR-CA
R_2YqYty7bXqOKJQX,Our freedoms being taken away,EN
R_sHZc0g16x4k0fdf,Getting liberals out.,EN
R_3Hv84DeoKOgxF8g,Covid-19,EN
R_3mmingyhzJF3nms,FREEDOM,EN
R_2TS0U6RuVmGhMdA,Don’t knoe,EN
R_2YPTj4RTH7FhcRb,L’environnement,FR-CA
R_2X4DW8XCtKlgK0e,Economy,EN
R_1zQvFRFDNcrKzCN,Pensions,EN
R_1kTxUOUfWinhHHm,Santé,FR-CA
R_31gzEcISNXpMBVU,Relance économique,FR-CA
R_ByAjFtPl8Vddhe1,Environment,EN
R_2EmxWZShuBL3zL0,Debt,EN
R_1F3Wxkhlq6dtLnI,Crime and Poverty,EN
R_6zECcSGNa6mC87L,Seniors,EN
R_2BxGN9MVyBnbeK0,Getting Liberal government re-elected,EN
R_DGfAmWK56AcVmHT,Sante,FR-CA
R_1jUn8gJNBr6O6EK,Le pouvoir,FR-CA
R_0Sz2c9hQaUxK4OB,Gestion des armes a feu,FR-CA
R_OmcgqH97iYR4dPP,LE DÉFICIT,FR-CA
R_3QXeyLOka3K45bS,environment,EN
R_3g4MFpjHCwIHnuD,Economic Recovery,EN
R_4I7kAPcE8fUgAUN,finance,FR-CA
R_1IB39TUa7OSGCWA,n/a,EN
R_2VQpRsOWQGmlYXq,Environnement,FR-CA
R_CeT7nXmWLiWDjWN,ending covid restrictions,EN
R_vHaFBnaj587qBLr,"Housing market, vaccines",EN
R_3e4UKejUYLYDcyY,Economy,EN
R_3gYHFykV5dFfi8h,Covid passport requirements,EN
R_xf0ztytp4L1Mubv,Dunno,EN
R_122MUOl58gJi8ya,Handling pandemic,EN
R_1rDfd0S6lwC8Oku,Income,EN
R_1jvxbpNLNqKa32H,BNOT SURE,EN
R_bHlTGMxcY3sHK6Z,pandémie,FR-CA
R_sz1sXYiYx26PORb,economie,FR-CA
R_2SHqzhmgBZCllu5,Economy,EN
R_1P1WC0x2yC2XjKi,Environmental,EN
R_eSbiHKr7LGxPXW1,health care,EN
R_2ttbJFnAOTYnyHx,TO GET THE ECONOMY BACK TO SOMEWHAT NORMAL,EN
R_sul9V30skw9VrKp,Environment,FR-CA
R_3fZfRmSqvpIIMxL,affordable housing,EN
R_ZlU1I2DXf91p4B3,I find political parties focus on telling us what the other one did wrong rather than focusing on what they are planning to do.,EN
R_27CfEngsHakwDYW,Covid,EN
R_DT3XqXdcXVdaepb,Seniors Care,EN
R_297hIrQoTxEVl47,"i do not agree with the prevalence of individual rights over the rights of the  community, which all the parties protect",EN
R_2Vl7ocq4pB0rhVH,Corruption,EN
R_3lJlkeqexdcq5AK,Healthcare,EN
R_e4o9xnQYFjVz7sR,health,EN
R_elL9oyyESoxrCFP,Covid 19,EN
R_2lAPBq01ZAck58d,Health care,EN
R_214Hp3Qpq8M2OCy,Health Care,EN
R_0BTtu8U4z6BSHlf,Trudeau and his move left: banning freedom of speech and lack of understanding of monetary policy and its impact on the economy. Immigration policy to broad - should have a merit system so we get people that will contribute to the economy and not be permanent leeches. Care more about disadvantaged Canadians and less about so called refugees who's cultures are not in sinc with ours Climate change  agenda and Paris CC costing us too much..,EN
R_1IGzXFP1BQjfGbm,How can someone pick just one? That’s unrealistic.,EN
R_yHGlZPpaTEAhhjr,Système de la santé,FR-CA
R_AEZ90RMeCUG98Pv,Canadian’s freedoms - ie ability to make own health decisions,EN
R_72tK9YVakyMu5LH, climate change,EN
R_RWEaYw6z3ykeNwt,Inequality in the society,EN
R_3exLa7L46H9zkCY,Getting more pipelines,EN
R_3MPA3BsAHRm9EMq,taxes,EN
R_a5nfidGmM59ZE3f,Changer de premier ministre,FR-CA
R_1CI12JhDrky3cYq,Economic recovery,EN
R_V42QSdy2GiB8609,Disabled Benefits,EN
R_1r6RpIcY90Xas1P,Immigration,EN
R_10vCciqaW0H45gi,la souveraineté,FR-CA
R_WvMCHMn4JMhYfAd,Our debt as a country and spending that is out of control.,EN
R_V3jiOimRLQsDbNv,Accountability in our government,EN
R_NW13lomivvpadxv,L'environnement,FR-CA
R_yWq3SZF9Kfw2GQx,Health care,EN
R_1JKDm33oCh2SHKY,Economy,EN
R_21gfy7PLHkaplST,Cost of living,EN
R_3EZjU5QTiGm6Tlb,Réduction du déficit,FR-CA
R_33jUZ8cAAnMlAys,Truth,EN
R_5w05QjzdUynvs5j,Getting a smart leader who isn't totally corrupt,EN
R_2fquUJV7itYeOUT,Environment and government intrusion,EN
R_20VBSNRWNYesuAd,Santé,FR-CA
R_2Ezu6flVCwiPR6c,LA santé,FR-CA
R_31gztVWwu5OS5MP,Taxes,EN
R_1Hq3vx3WV1lPhgy,immigration and refuges-  there are enough people in Canada.,EN
R_ZJJWSyk1YlvuZQ5,Economy,EN
R_3D7sgcPAlOD0DbK,Environnement,FR-CA
R_1kUOUDZeKu5JXKI,Affordable housing,EN
R_1GBwLORclackbsQ,finacial responsibility,EN
R_3KPhFmCgVlyoUoI,too many,EN
R_yKD8W110Lwbre6J,Housing prices,EN
R_28BqfPqwDWMmk2M,changements climatiques,FR-CA
R_2eR44KjTE1WPVpD,Debt,EN
R_yK1ambJxzARAe1b,THAT THE PERSON THAT I VOTED FOR IS FOR THE LOW INCOME FAMILIES.,EN
R_wTznmBbtvoAEgJb,Reopening the economy,EN
R_1IvkKbO5y3TPJNB,Covid 19 restrictions,EN
R_1DzC65i8Pe24doa,Climat,FR-CA
R_RyN4OOw6xVM2fK1,Covid,EN
R_PU9mVq09ws6Amo9,Économie,FR-CA
R_1lovX9DuUzZk1L1,l'économie (pénurie de main-d'oeuvre),FR-CA
R_2t9bqlK0vhNFiBl,Économie,FR-CA
R_5jaJxzR7hhIPCBr,Sortir le partit au pouvoir,FR-CA
R_3hlRTbWyMYzPYk4,Minimum wages peovincially,EN
R_dnXVh7zvltCgJYR,"recovery from COVID, economically and from a public health perspective",EN
R_1PUxKAr8iID8wSo,Relance économique après covid-19,FR-CA
R_3j7mHro7w1fe6oJ,Control of  Covid19  recovery for the future,EN
R_DpMQAPGjgBn8vIZ,Cost of living,EN
R_8p4m8nn0PCOAvcd,"Freedom in choosing my health status, vaxx card",EN
R_1CqhNSUibO6p7wO,Economy,EN
R_3oXX4sB9dKPKkoK,La covid,FR-CA
R_3KZmPbjUw0YRlhg,Crise du logement,FR-CA
R_2OHfUwnRGISMx80,Santé,FR-CA
R_21id33g1ab6pObW,Mental health,EN
R_1N3yGl3llrAqPiC,Économie stabilité,FR-CA
R_wSmxQWtfBOBj6FP,Climate change,EN
R_1ClTOIWCloMmgxe,logement,FR-CA
R_1eR8MN4FWDmml0j,health care,EN
R_3Rxdigbk8eh907G,"Housing, immigration, gun laws",EN
R_3e9Tl23z1B9EOqm,climate,EN
R_1prJl18UgqEM6bg,la pandemie,FR-CA
R_3j3fE3wHRF8NRCb,Poverty/inequality,EN
R_3FWCSYnu0UDzT0A,Health Care,EN
R_3KDBpMc8pt1Jn4D,unity,EN
R_2AZFcoJ9N09m2E8,Healthcare,EN
R_2ffDSwEJjhYCAFq,Economic Recovery,EN
R_syV6MHjnF9FATTP,LE SERVICE DE SANTE,FR-CA
R_3RebADynAUag7hj,Covid-19,EN
R_2S7iqqI4rxoKUSM,Global warming,EN
R_DNOZD7kVMdaX7rz,Santé,FR-CA
R_20O6dXMbYwJkuqd,Les changements climatiques,FR-CA
R_24nEnuwk12Slqy4,getting rid of the lying prime minister,EN
R_b7WiZVQGrdrtbP3,Economy,EN
R_2f2QDoccHiKG5Tb,Health care,EN
R_0pPZnGvgqXhbGAV,health care,EN
R_2uHyJOfokIDkgyF,health care,EN
R_3ef8iIPNQzXvLzF,Santé,FR-CA
R_PSpZL1saCZDqAyB,Climate Change,EN
R_1LFJyWoCqGIM76e,Wages,EN
R_3rSAWWNvSplF0Dn,equity to minorities,EN
R_2SvtWy2RNdhfz2s,Economy,EN
R_1z8DfZ4nhcUGhrP,La réforme électorale,FR-CA
R_1n24Y9Tw2DqYI4m,Taxation,EN
R_54L7FVVfb38hYDT,Climate change,EN
R_2ri2RsGJTtCYl0C,Le budget,FR-CA
R_9BwurFgBM0DGGFX,CHANGEMENT CLIMATIQUE,FR-CA
R_2WuGGcKiBhUhSM2,J'aimerais plus de considération pour les personnes agées,FR-CA
R_beCUuD0jEzCmNod,vaccine passports,EN
R_RqcLoo0ARw2iI81,La stabilité d'un Gouvernement majoritaire,FR-CA
R_2t5ysi9cZ1oZxar,Accès soin santé,FR-CA
R_Q9WCZk6cXtkM6qJ,COVID,EN
R_3fcpqY6cWSfCFSE,The slow creep to socialism/,EN
R_pH0YD8HmBspAt7r,Affordability,EN
R_rlQPb1Ee3f8WzdL,Debt and spending,EN
R_rrOBd8ooNlOUR2x,Covid,EN
R_24CMtC10Y3mpf39,Éducation,FR-CA
R_1LdselPCSciGUSo,LES IMPOTS,FR-CA
R_6VWiS84VkHeHTot,Aide financière aux citoyens,FR-CA
R_yyDF0a62kLlXuP7,Health care,EN
R_1N4EdyiCjYr1ep9,environnement,FR-CA
R_1n6d6RqnqAZRa1g,Daycare and housing,EN
R_31ioZ6ynMch3q7S,Climate change,EN
R_xi4yEJMPzzaqPcd,Spending money on not smart things,EN
R_2QQc9qX9DyGYbeF,Refugees,EN
R_VX4CgxsfySRh7yh,Taxes,EN
R_10uXQLi1YNAKedB,covid,FR-CA
R_1l684oYzuwVflpN,Pénurie de main-d’oeuvre,FR-CA
R_6D3z44bRXde1FXb,COVID,EN
R_3lr8HWuRDa5kaIP,Medical hair,EN
R_3FOjcQd1Birvpiu,Long-term care homes in the pandemic,EN
R_3iL67TBCuWmOdMO,Tax,EN
R_30wXHNocs34CfAn,government accountability,EN
R_4OQ3BlcqzEvuGRP,Economy and affordability,EN
R_3kLnOchjfT9sxpp,COVID Restrictions,EN
R_ZqMzvaTsPcSKro5,personal choice,EN
R_UH0afDw7e5zkfdv,healthxare,EN
R_31dqSPQAVOh2PZp,ethics,EN
R_1gj6BiYE0Wqdnbo,Covid policy,EN
R_2VdPLkjO6M5MRT3,mesures à prendre contre le réchauffement de la planète,FR-CA
R_2dzgGIDlKSKKMXi,Environnement,FR-CA
R_cYoTwWuZAGqUynT,i think its tax in this covid situation,EN
R_3CPAaTe33z9ruD8,Economy,EN
R_O9jOApuq9S4vKF3,economy and future of Canada,EN
R_3HFZVmtyFTCueD7,"Honesty in government, conflict of interest",EN
R_OAIPifNiS0LLgSB,The envirnment,EN
R_3I4C1WRIbjcQLR4,Economy and how to balance the national deficits,EN
R_2Vn0azxb3AsERw8,Climate change,EN
R_27kbhDGBdSMFZRF,finances,EN
R_3LdtBCHYxwN6T7d,Housing,EN
R_W3DHfjOtinNSjf3,don't know,EN
R_38HInpFDry2UOOJ,Santé,FR-CA
R_vYtLstIWqGnJ1tv,Climate change and global warming,EN
R_1FA8yVWE4e7YQ3n,Mandatory vaccines,EN
R_1IYMMuMUkRGduMb,Pandemic,EN
R_2wFdmS3dam1t4M6,Our environment,EN
R_3JEMbUeNT1OStCg,The finances and housing markets of Canada,EN
R_8dmkXJOI7HTvhXb,economy,EN
R_3Rz0Ima1UoQjmdl,Affordable housing and global warming,EN
R_uktc5l5vHKbWT0R,Covid,EN
R_w0OmVoMx7RG7kl3,Healthcare,EN
R_2uxqksqXPzVTzxm,Climate change and environment poilicies,EN
R_2eXMkThfVx01NKH,Covid 19 and how it is being handled,EN
R_1ignVpLHy7YAypH,getting the debit under control,EN
R_2QfGcPS43m6uQdQ,COVID,EN
R_A5vcRDW9Mfj6JJT,Environnement,FR-CA
R_QhKwIz6lzn0tA5P,Covid,FR-CA
R_33dso9BLwKVmpQ6,Getting a leader who is qualified and trustworthy,EN
R_3RpEYBCQS9U1w5R,Housing,EN
R_1IRZhlZ57U1lPQz,climate change,EN
R_AGrlMO2QcS2bahz,Health care Covid,EN
R_1K2yxD8OQZYHkkl,heath care,EN
R_pzUbSxDpMYi8KbL,Environmental issue,EN
R_2DSqEE78RB2MNkF,Je sais pas,FR-CA
R_eb5lYSAJ4ENSGg9,The end of tyranny from all parties,EN
R_1lhFsXPT75Xz2It,Climate change,EN
R_24tHhNVxg7aYGDo,Tax,EN
R_cTl5ziJL9CBGLvP,Autonomy,EN
R_9B9TG7Z2V7p6V3j,-99,EN
R_1lmjSw3wrnS0x5I,Medical,EN
R_RIzKMxIbNFXhJF7,Post pandemie,FR-CA
R_2ymygZg2xEHbt5L,Issues such as indigenous rights and global warming,EN
R_3DdW8222h9uNXnf,DEFICIT,FR-CA
R_1PcTlkhSgdZii9F,La santé,FR-CA
R_3GrlmnMztk063xS,Who to vote for,EN
R_3KZ7PJMsdSYIGRz,Enforcement of vaccines- attack on liberty,EN
R_3nOybctALR5bHhz,Government accountability,EN
R_1OqSvdeL22ECN0W,The fact that it shouldn't have been called in the first place!,EN
R_246RuvHdr5wjedb,"Honesty , intregraty, transparency, of political candidates",EN
R_24kkQDVFXDwhf8a,Xxx,FR-CA
R_117vAoQZSmLKzS0,Health,FR-CA
R_1OAHw4A9X707Eej,Taxes,EN
R_1MYQ5KRUoZqY5bU,majorite du parti liberal,FR-CA
R_2wNX2moKkfJm5k3,Budget,EN
R_pfLgYDMtvSKKrW9,Environnement,FR-CA
R_3gMZLwEIBoBNT3B,health care,EN
R_2DUl2chjJ8rmLyI,Economy,EN
R_33ebLKJUb1YHQJ5,Environment,EN
R_2XdsDdj6tIFrF8z,Excuses sincères au Autochtones,FR-CA
R_2X7mVCFs5WJl1pe,Indigenous rights,EN
R_1GLjqkatLSNweYx,Climate Change,EN
R_272y1B3CGzhKxQx,Trust,EN
R_2RPKqtrLupWnvO9,Democracy,EN
R_3Kv9iaeg3O9VHTP,Économie en général,FR-CA
R_2q2E2WHsjuoqwcU,HEALTHCARE,EN
R_3PiOOZyUpGYjrt0,Housing,EN
R_332WmqmPK1f8tEE,Creating more jobs and improving economy,EN
R_DwbT7g4GKtJpCRr,Environnement,FR-CA
R_2do9EEiV6gY7NDC,low income housing,EN
R_OAVAxWMrayGE1Gx,La gestion de la pandémie et la reprise économique,FR-CA
R_2aqLgnPQbTH1LO0,Taxes,EN
R_SZuAljFIf2eyCY1,Pandemic Issue,EN
R_2P06Ngm0NQySaX0,Climate change,EN
R_6xLDB3MZ1BQmcLL,Économie,FR-CA
R_3nI9YZB60HBQifu,COVID,FR-CA
R_3qsupMKr8WqhMR7,L'éducation,FR-CA
R_2tMwgn9fGeUblK4,taxes,EN
R_2aCWIzugQLFEh6M,First Nations reconciliation,EN
R_1hPZEP8i6pn9rhB,Système de santé,FR-CA
R_3MDxXRs9ndeFL9d,Over spending of our govt.  especially stupid places,EN
R_8iBD9EhoTNQykGB,Covid,FR-CA
R_22YbtBfqoFdqvis,Économie,FR-CA
R_2s4QgtGdknjTi5S,Social policies,EN
R_6ROdinn1M7drpLj,la gestion de la covid,FR-CA
R_3lSrcHWTWKIhIq5,Affordability,EN
R_RxeYCrk3ytPr5vz,Climat change,EN
R_3qVVA54MWLvNvEA,Housing,EN
R_128Zm0z45g3lYZ3,Environnement,FR-CA
R_3KovZsjWn1p1DhY,the economy,EN
R_3Jyp4SH3dksFzxD,Covid-19,EN
R_1gefNxwa6CWuKim,health care,EN
R_24da3rKPY3gyRGD,taxes,EN
R_r25BGosb5GOq8z7,Honesty and ethical behaviour.,EN
R_xmXFX1BzbHUPVEl,Honesty in Government,EN
R_24GZmU6oXfko6a9,Economy,EN
R_2PyVBEEkrmOIuo6,Relance économique,FR-CA
R_2e5we0T6PPTXxHv,Healthcare/seniors,EN
R_2y2DnZRGgkVNI2E,housing,EN
R_10To3AedLssEseY,Augmenter le revenu des aînés,FR-CA
R_2PdIwRjOTYfGgPV,Financial support after losing job due to covid,EN
R_2rw4JspVgVxzO1z,Handling of covid pandemic,EN
R_81vwNn330v85hSx,Environnement,FR-CA
R_6Jf9yguedH5ZsA1,economy/inflation,EN
R_2347MJC3ornAGxW,Lowering housing and rent,EN
R_2qDbnQYRMPGujfe,Dette,FR-CA
R_1r9sriArMMJyydM,PLC incapable de s'entendre avec les province. J. Trudeau veut tout contrôler. Ce n'est l'homme de la situation au Canada. Il est réactif et non proactif.,FR-CA
R_ukRXobOPIX6YSgp,TAXES,EN
R_1rlgqbNKlSAGHyh,Covid 19 plan,EN
R_Q6efmP0EqgTe0Nj,La santé,FR-CA
R_42bPs7Kq4FF8axr,Santé,FR-CA
R_vldB5hglAkc4tm9,stabilizing the economy,EN
R_DeOgWjDz18yqGYN,economy,EN
R_1hMxKqjVru4bjJ8,Affordable living,EN
R_XnQohYYMHANjcTT,Climate change,EN
R_ZePE901fJlOzb4B,The gab between the classes.,EN
R_3htfQQ9EbNzV6D0,Environment,EN
R_3FOqH4LiqyIN4cX,Financially stable,EN
R_3er9BJmKed7Up5S,indigenous issues,EN
R_3ELvwGFZKXZM19t,Global warming,EN
R_d52cqTq8gOzehb3,"Indiginous rights, sorry I can't spell.",EN
R_08ujSrAsNIZiaSR,"Social services, indigenous issues, environment",EN
R_2PcHLXAbjN0uvqT,Climate,EN
R_VVwbg6bZgWKpeZr,Retirement pensions,EN
R_3hGzKgBPFxw9jJV,Covid lockdowns & segregation of vaxxed/unvaxxed,EN
R_ea2Sh3LtJlkY1Vv,Economy,EN
R_sUynyjewr9nJD4R,"Housing, homeless population, drug crisis and climate change",EN
R_2uszDhbEeHUeNYC,Covid,FR-CA
R_UnJL5yDkp8apFYJ,Le droit des femmes et l’environnement,FR-CA
R_2X1f4Lw4Ardqfb4,Santé,FR-CA
R_T4VpYWu6Dq1vASR,Coûts en période de pandémie,FR-CA
R_d1pQHGtK2QuYHEl,Pharmacare,EN
R_1gwId574CB5WXqr,economie et autonomie de la province,FR-CA
R_31pafx6W2fptar3,sortir de la COVID-19,FR-CA
R_1DNF5VU0GEJEtRv,defeat the Liberals,EN
R_2waaL2RYzlEOqHj,Gestion de la crise sanitaire,FR-CA
R_1JXFjwois3aDHk6,COVID-19 and the effects on our economy,EN
R_3lKpzyNeg6ia8xy,environment,EN
R_2qC0jh7wGsDeFOJ,L’environnement,FR-CA
R_21pwxHOgHngaF9M,Protection of the child care agreement between feds and some provinced,EN
R_2EbOss683rZVSzi,L'economie,FR-CA
R_UzujGtzscAkLSGB,Avoiding right wing doctrine,EN
R_1hYhlu5CuekwXvI,Health Care and higher wages for Personal Support Workers,EN
R_1P5XgFMaSGl595X,No tax increases,EN
R_2v17HP72xL4Kfto,COVID-19 response,EN
R_3PFEDPhWvamlZV3,So many things,EN
R_9RBOrufeh5aJhq9,avoir un gouvernement minoritaire,FR-CA
R_22kKYtXeogy8U9n,Environnement,FR-CA
R_O9ZGjD7qujfQgYV,l'environnement,FR-CA
R_2zOzBeQJnR2xByq,L'environnement,FR-CA
R_3rWstsW4AFyRvYl,covid,EN
R_2uHQzvakY7l1iBC,Employment,EN
R_1Yt008dXWJcoxvb,Covid-19,EN
R_2Cpj1JtbcgAE45L,PCU,FR-CA
R_2bIb63INMpOGuxK,TAXES TO BE REDUCED,EN
R_1N9Onmbwn07meNt,Jobs for people and medical coverage.,EN
R_3D7M78kaP8pa3gW,federal disability reform,EN
R_yHDOyfVjUiImZpv,debt,EN
R_1LZqleBgeysz1In,NO ISSUE,EN
R_22RAUL7pZd5KhzC,Economie,FR-CA
R_3Jlz602Kf1A3Zli,Santé,FR-CA
R_2rAuKes0BrabcGT,Economy,EN
R_1mwIdYHdEKbXrz3,Indigenous Issues,EN
R_2cbJx6JAwOJv5Ws,Economic Recovery,EN
R_OfhhGRvDjb800Fz,Canadian Economy,EN
R_1OUYOaRfBDzVlGZ,Economy after covid,EN
R_24vpNDTr67hMWcq,covid,EN
R_32QFdzzwNOC9bOW,La santé,FR-CA
R_RqaULoLnaiFKcP7,Économie,FR-CA
R_3Gj0GheYmZoWB6H,Heath care funding,EN
R_1jE2t4xv7yomnsG,USING our own natural resources instead of importing from other countries,EN
R_3PXJt0adrTyjYpf,Economy,EN
R_bC8yZBeyqDILW6J,Truth,EN
R_1HRVv8ufrSPclZ7,TAXES,EN
R_1mQvFjTNBFmwXJa,Balanced perspective,EN
R_UXDNZJ4YHsc5ndn,Get Trudeau out,EN
R_ULb4AUOS0e40ElX,Health care,EN
R_12zL5FqBEXvic6Q,Cost of living,EN
R_3hF2HNi0rWJuoPS,Health Care,EN
R_2uZYN8qJINvzclc,cost of living,EN
R_3fB56geDU7m20GY,liberte individuelle,FR-CA
R_1QKILyRglFkmaac,Climate change,EN
R_3IVShWZJu9u95qc,economy,EN
R_3O2EYlfipacKEY1,Moving forwards and real change,EN
R_9FGzOwV8ivmC921,Éducation,FR-CA
